00x,1e-15
019,2e-06
09w,0.00186
0fh,3.33e-07
0ii,3.99e-06
0iv,2.38e-07
0o6,9.98e-05
10s,0.00186
11b,0.000703
122,0.00205
13q,0.007
1dm,3.33e-07
1e9,1e-09
1kq,0.0032
1m8,3.93e-05
1ty,8.5e-06
1xf,3.33e-07
1xt,1e-15
20k,4.2e-06
240,8.6e-05
24k,0.00011
2d1,4.2e-06
2r7,3.19e-09
2t8,8.1e-07
2uv,2e-05
2wb,0.00047
3nb,1.8e-10
3rh,4.2e-06
3rx,1e-15
3uq,3.33e-07
3zo,0.00186
419,7.41e-06
472,1.7e-10
47i,1e-15
4ba,3.33e-07
4ea,3.15e-06
4ie,0.00012
4kt,1e-15
4p7,0.025
5bz,8.7e-08
5tl,0.000335
5wz,1.3e-06
5z0,5e-10
5zv,5.55e-18
68u,6e-06
6du,6.03e-08
6jf,0.00186
6l9,2e-06
72f,0.00012
7cr,4.4e-18
7e5,1.8e-07
7ek,3.8e-05
7o7,7.41e-06
7tu,0.0086
7w5,0.00063
824,0.0086
883,8.7e-09
8fn,3.33e-07
8ub,0.0086
95j,1.4e-07
96f,0.00186
97b,1e-15
97p,0.00205
9ky,9.42e-06
9lo,4.2e-18
9lx,0.007
9n0,1.11e-05
9o6,0.00012
9ph,0.000108
9rc,0.0086
9s4,0.000722
9wf,0.00065
9zk,5e-09
9zr,0.00115
a8v,0.00186
aab,2e-05
an2,1e-10
ar1,7.5e-05
ard,0.0016
aui,1e-15
b56,1e-15
be9,7e-06
bi3,7.8e-06
bjw,4.79e-06
bnh,0.00186
bnu,1e-15
bq9,2.4e-10
br1,5e-08
bsa,2.4e-14
bv2,1.8e-08
c0g,7.41e-06
c6e,0.00392
cdk,1e-15
cfy,7.8e-11
cju,0.00186
clt,1e-13
cti,4.2e-06
cy2,0.000335
cz2,9.5e-07
d7f,4.1e-10
d9l,0.00186
dae,7.41e-06
dc8,1e-15
de5,0.00204
deu,4.3e-05
dl7,1e-15
dlj,0.00278
dmq,1.31e-08
dth,1.3e-12
dvb,4.2e-06
dvn,6.24e-07
e6a,0.00012
e6b,2e-07
e81,1e-15
ecp,1e-15
ei3,0.000539
ek5,1e-15
elz,0.00192
etz,0.00049
fam,7.41e-06
fft,0.0002085
fj5,4.2e-18
fkj,0.00186
fwz,2e-06
g5q,0.00012
ga9,0.000103
gas,0.00026
gcj,4.2e-06
gdr,0.00012
gkl,4.2e-06
goi,0.00016
gvd,0.0005767
gw2,3.33e-07
gwu,0.000568
gxz,1e-15
gz8,7.41e-06
h5i,1.21e-05
h6c,9.2e-14
h7r,2.28e-05
h82,2.62e-05
h89,7.41e-06
hai,1e-15
hbz,0.00186
hcm,6.61e-06
hja,1e-09
hta,0.000412
hud,7.41e-06
i12,1e-15
i47,5.4e-08
i4l,1.5e-05
ia5,1e-15
iiy,0.00186
ij5,0.00333
ik8,0.0086
ipo,9.85e-07
iqt,9.98e-05
ish,0.00186
ix1,3.2e-07
j5g,4.2e-06
j8q,0.0086
jej,7.41e-06
jkq,1.53e-11
jl4,6.56e-10
joc,2.6e-07
jqc,1.58489e-06
jy6,1e-09
k4x,0.00673
ka6,7.41e-06
kab,0.000722
kbo,1e-15
kbq,1.9e-05
kbu,7.41e-06
kfp,1.59881e-17
kgl,0.00186
kh3,0.00012
kji,0.00012
kkn,1e-08
kko,0.0086
klr,3.6e-05
kmv,7e-05
kop,0.0086
ku9,9.92e-06
kxw,1e-15
l2w,8.2e-08
l6h,0.00012
l9r,7.41e-06
l9v,5e-07
lap,0.000722
ldx,3.33e-07
lk8,0.00026
lkm,8.5e-07
lol,0.00012
lpt,1.3e-07
lpx,1e-09
lrh,1.9e-07
lud,0.00026
lxk,3.93e-05
m0v,6.03e-08
mde,1e-15
mdp,0.0032
me3,1e-15
mfs,1e-15
mfu,5.89e-10
mg4,9.98e-05
mn3,2e-05
mp-1198622,9.85e-07
mp-1210789,2e-06
mp-18640,2e-06
mp-29009,7.8e-10
mp-559776,6.61e-06
mp-641703,0.0032
mp-6521,1e-15
mp-677627,1e-15
mp-942733,1.63e-06
mp-985592,0.00205
mq1,4.8e-09
mtn,0.0121
mtr,0.000935
my9,9.98e-05
n27,1e-08
na5,3.8e-07
ner,7.41e-06
nhq,8.93e-07
nig,0.00186
nip,0.0086
nua,1e-15
o0a,6e-06
o5q,0.00012
o9h,1.23e-05
ob9,4e-06
oi6,6.7e-08
opo,0.00012
ozo,1.18e-05
p81,1e-06
p9u,2.62e-05
pa1,2.62e-05
pbz,5.66e-06
pe2,1.05e-09
pg8,0.000174
pql,4.5e-05
pwr,1.64e-07
qa9,1.6e-10
qbb,1.1e-06
qer,6e-06
qno,2e-06
qy4,8.8e-06
r99,1.2e-05
ro9,9.6e-12
rr5,2e-06
rty,0.0086
rwr,1.8e-05
s2v,0.000935
s3h,0.000412
sg0,1e-15
sib,6.8e-06
skm,3.9e-09
sqm,7.41e-06
t0h,6.1e-10
t2c,0.00362
t3k,2.37e-07
tbj,7.8e-06
tbu,1e-15
test_cif,1e-15
tjh,3.33e-07
tka,6.17e-08
tvf,1e-05
tws,5.2e-10
u0c,4.24e-09
u2y,0.000335
u8r,1e-15
uaz,4.2e-06
ueu,0.00012
uex,1e-15
ui6,0.0086
uox,5.65e-12
ur9,1e-09
usu,4.3e-06
uu4,2.05e-09
uut,0.00186
uw9,1.9e-05
uwh,7.41e-06
ux3,1e-15
uxi,9.9e-08
uxo,1.4e-13
vg0,3.33e-07
vj7,0.00186
vlm,0.00151
vqj,0.00186
vqu,1.3e-07
vwy,0.00034
vy5,1.36e-08
w7d,4.2e-18
w87,0.00115
wa3,0.00012
wgw,1e-15
wsd,0.00165
wyu,1.63e-06
x2i,3.8e-08
x2v,0.00186
x9d,0.00186
xas,1.5e-05
xk3,5e-06
xog,7.8e-06
xq3,1e-15
xub,1.51e-09
xut,1e-15
xz4,1.3e-08
y2l,1.4e-09
yav,6.95e-06
ym6,9.98e-05
ymc,0.00186
yq2,9.98e-05
yqu,9.98e-05
ysm,1e-15
ywe,2.62e-05
z16,0.00186
z2s,3.9e-05
z7n,3.2e-07
z9y,9.98e-05
zs0,7.27e-10
zv5,2.8e-05
zxr,7.41e-06
zzr,0.0086
