material_id,formula,pbe_bandgap,material_class,space_group,synthetic_hse_linear_universal,synthetic_hse_material_class_specific,synthetic_hse_composition_dependent,synthetic_hse_structure_dependent,synthetic_hse_average,synthetic_hse_std,synthetic_experimental
mp-11107,Ac2O3,3.522599999999999,carbide,164,5.90261705299238,4.9971354282767955,5.814349933733884,5.672983408263922,5.596771455816745,0.3557574843148635,5.603820352899458
mp-32800,Ac2S3,2.2962,chalcogenide,122,3.7062786622307433,3.84574833674393,4.123073703403984,3.3203901594140137,3.748872715448168,0.28931938216424397,3.798947145033785
mp-977351,Ac2S3,3.0275,chalcogenide,167,4.11831163723936,5.105237965605457,4.019169521448502,4.681176737660477,4.480973965488449,0.44004942923879214,4.288471663607009
mp-1183115,AcAlO3,4.1024,oxide,221,5.921767656368576,6.738957889240841,6.475974653481642,6.230825348486298,6.34188138689434,0.3018607887350337,6.021982031631057
mp-1183052,AcBO3,0.8071,carbide,221,1.8558431386895575,1.8503254103865023,2.0089452408194104,2.0672993143911804,1.9456032760716626,0.09481150272137909,1.8160025109670326
mp-27972,AcBr3,4.103299999999999,halide,176,5.981306737087345,5.560789423928,7.79700751464542,6.008925820348328,6.337007374002273,0.8614341480411007,6.855942010772752
mp-30274,AcBrO,4.241,halide,129,5.953172549651886,6.152006145157588,6.083017856442452,5.8226743766351525,6.00271773197177,0.12610062965100993,6.382356730032478
mp-27971,AcCl3,5.0865,halide,176,7.392821132663007,8.354529466344841,7.61209506179464,6.767063946643257,7.531627401861437,0.5673330832610863,7.96907510591596
mp-30273,AcClO,4.4451,halide,129,6.341558462259501,7.882213162234306,6.475370488987236,7.652397224669702,7.087884834537687,0.68589514655246,7.444288489799855
mp-866101,AcCrO3,2.0031,default,221,3.6469734969249945,2.898654183583776,2.8822369174725413,4.091206051007549,3.3797676622472155,0.5139432265424426,3.249168265758599
mp-977360,AcF3,7.4101,halide,225,11.73915549997628,11.925539984055781,12.58811616960017,12.404034071553546,12.164211431296444,0.3445456175946237,12.478362926261397
mp-985278,AcF3,6.0693,halide,139,7.546315900707715,9.143314050358113,9.70728189643998,8.172757051887723,8.642417224848383,0.8376832918021532,9.013742489825256
mp-861502,AcFeO3,0.9887999999999991,halide,221,2.085731634920389,2.3642997819484033,2.3375978125361385,2.216643717484329,2.251068236722315,0.11048754425837214,2.368184690806773
mp-1183053,AcGaO3,2.895900000000001,carbide,221,3.8407973692724147,4.041398252500375,4.0170305633340195,4.450046422120694,4.087318151806876,0.22326737141368552,4.036397300493712
mp-861884,AcGaTe2,0.49099999999999905,chalcogenide,225,1.2590950129518428,1.2624774156741623,1.559698773447299,1.3775758394948816,1.3647117603920464,0.12226219609012032,1.2909038829574344
mp-861605,AcH3,0.640699999999999,carbide,225,1.2648481414157262,1.063470377707626,1.6198187492778295,1.774229281529789,1.4305916374827428,0.28113282275105334,1.3231372949275773
mp-861867,AcI3,2.5892,halide,194,3.4311752259748225,4.677674793865086,5.212992989326776,3.5742470058504923,4.224022503754294,0.7474419752085592,4.461641365867456
mp-861460,AcInTe2,0.3799,chalcogenide,225,0.882023514058335,0.9382409030091345,1.5412801031964107,1.4466084765401073,1.2020382492009969,0.29449028089618134,1.1559711186959005
mp-1184231,AcMg149,0.21680000000000002,carbide,187,0.776710493513978,0.7575006127809725,0.8903526348844725,0.7028241153196466,0.7818469641247674,0.06825910081150627,0.8592423633715646
mp-36526,AcOF,4.256600000000001,halide,216,6.039679408401636,8.572837579015573,6.845583512695318,6.290080774358768,6.937045318617823,0.988434403421168,7.406243315357127
mp-1183152,AcScO3,3.3847,chalcogenide,221,4.913316098739304,5.390101708460177,4.825100041843395,6.324297401946715,5.363203812747398,0.5950586121279013,5.345343486897158
mp-865028,AcTlTe2,0.6253000000000001,chalcogenide,225,1.488360192776626,1.228052282659614,1.5194431887784834,1.8670989946237826,1.5257386647096265,0.22725582505096165,1.5876342634555485
mp-18125,Ag(AuF4)2,0.258499999999999,halide,14,1.0137655877194072,1.4169436820385555,1.2904915314211103,0.8596082273194064,1.1452022571246199,0.22010902024029663,1.1956466043039706
mp-567334,Ag(BCl)6,2.7028,halide,205,5.004827689676975,4.948493668649994,4.139344167473401,3.408921620901089,4.375396786675365,0.6546790020447016,4.591141918429662
mp-600237,Ag(CO)2,0.737499999999999,carbide,5,1.8041108699517767,1.2578453790116613,1.3300646698815903,1.484801758830868,1.4692056694189741,0.21002269012072622,1.53220709936698
mp-654937,Ag(CO)2,0.7248000000000001,carbide,15,1.5234072380745887,1.5050312528648553,1.6543630870061272,1.7779163209377682,1.615179474720835,0.11019688151831547,1.4523821601607825
mp-732005,Ag(NO2)3,0.16560000000000002,nitride,14,0.9832764874824841,1.163329865318788,0.9267101588811549,0.831398403791466,0.9761787288684732,0.12091774890186842,0.8853380874085537
mp-568386,Ag10Te4Br3,0.9637000000000001,chalcogenide,36,1.6630887010853024,1.9073767009898908,2.055624324316836,2.0134540082559043,1.9098859336619833,0.15238208133001518,1.7564616407491476
mp-568392,Ag10Te4Br3,0.8722000000000001,chalcogenide,63,1.6371564523146027,1.7257273592423166,1.6359714199669986,1.7792331214442754,1.6945220882420484,0.06096869078716582,1.7236190133459839
mp-1229222,Ag10Te4BrCl,0.22080000000000002,chalcogenide,14,0.8601275266977095,0.918842132427819,1.3881656088656764,1.036189993967867,1.050831315489768,0.20481569354442658,1.0301501242765154
mp-1215080,Ag12SBr,0.394499999999999,chalcogenide,221,1.315899152442813,0.8876438909539819,1.718662282432216,1.1663487796303047,1.2721385263648288,0.3001358243783719,1.290205050012892
mp-1215073,Ag12SI,0.40240000000000004,chalcogenide,221,1.1009542420441067,1.3163965491123029,1.3345127576927578,1.6258200776567124,1.3444209066264698,0.18664474694506078,1.3223149486758419
mp-1195193,Ag12Sn7H16(Se11N2)2,0.22229999999999903,chalcogenide,15,1.0297692437423545,0.9067748614816443,0.7197182605592872,1.0278923722112863,0.9210386844986431,0.12646483190340263,0.8453004075291718
mp-1199256,Ag13As3(IO3)4,0.33329999999999904,chalcogenide,11,0.9491130574583294,0.9967821311369989,1.190907868814672,1.1276114496294591,1.066103626759865,0.097277405097382,0.8477523395301885
mp-560328,Ag15P4S16Cl3,1.288799999999999,chalcogenide,220,2.4916578199880393,1.940856441030907,2.9261065485802136,2.6020488723567388,2.4901674204889748,0.35507223072103117,2.4398345171095994
mp-1229151,Ag15S5I4Br,0.5666,chalcogenide,1,1.3762873395948458,1.5958560681980714,1.6202091719703182,1.2501851285344756,1.4606344270744278,0.15423385641535237,1.4709373250249833
mp-1245378,Ag15W7N19,0.9837,nitride,2,1.9283267441915655,1.8758339819799772,1.7551200032844116,1.897637869564975,1.8642296497552324,0.06569650322773277,1.6733903451637855
mp-1215118,Ag16HgAs4S15,1.1099,chalcogenide,5,2.0168459279236894,2.0638177492474408,2.141441176944084,2.0861096984492913,2.0770536381411264,0.04479934292442348,2.1081990347709354
mp-1205258,Ag2(MoO4)3,0.9809,default,62,1.8751708455483214,1.9005716426433734,2.1164779203639337,2.0077817999029026,1.9750005521146328,0.09565052118454583,1.920781750785518
mp-1197575,Ag2AsS2,0.533399999999999,chalcogenide,7,1.5212276579476893,1.3890819251198974,1.678761623997778,1.528713355731264,1.529446140699157,0.10254914309786674,1.3556279861552156
mp-1247866,Ag2B8O13,2.9324,default,4,4.6908876062524225,4.397490329123261,4.065905465688427,4.598529183280817,4.438203146086233,0.23969614666627673,4.540006906559058
mp-554873,Ag2B8O13,3.4397,default,14,5.1972931623075915,5.351631347659014,5.430435664233981,4.816337593845654,5.19892444201156,0.23626902172647066,5.103867833889197
mp-759792,Ag2B8O13,2.858,default,1,4.912836209686686,4.330304189630434,4.6969203541899915,5.12086049977903,4.765230313321536,0.29244115380152663,4.671428007332591
